epoch,train_loss,val_dice,cam_iou,cam_frac_inside,cam_com_shift,campp_iou,campp_frac_inside,campp_com_shift,ig_iou,ig_frac_inside,ig_com_shift,gbp_iou,gbp_frac_inside,gbp_com_shift,guidedcam_iou,guidedcam_frac_inside,guidedcam_com_shift
0,,0.5924282222865143,0.2170665225726874,0.9636528682526831,80.71273725,0.000165236,0.011808099,80.71273725,0.101755799,0.2674402341321789,80.71273725,0.002145742,0.011926227,74.44241959458122,0,0.014818339,80.71273725
1,,0.5202093062975254,0.2524786476108684,0.2871596377046195,80.71273725,0.2524786476108684,0.2871596377046195,80.71273725,0.114348317,0.014301329,73.83933106989323,0,0.005082142,77.22808558662626,0.000112015,0.1559215490292474,80.71273725
5,,0.9262269635766476,0.3391765316571559,0.7566320697515521,80.71273725,0.1857389621156664,0.4844381399933513,80.71273725,0.139693841,0.036415997,80.71273725,0,0.006220164,77.10732122549456,0.00018211,0.467451796,80.71273725
10,,0.929368133,0.3057805622302179,0.9817878030129584,80.71273725,0,0.00525624,80.71273725,0.119823668,0.137220885,80.71273725,0.000988551,0.007748571,77.13645960210984,0,0.007579829,80.71273725
20,,0.9188527354297856,0.3443987735286463,0.9660943971684324,80.71273725,0,0.002552582,80.71273725,0.1286321985184458,0.1439282718800025,80.71273725,0,0.00744163,76.55818222297447,0,0.003366853,80.71273725
30,,0.914383149,0.3499131626166831,0.9583952760762288,80.71273725,0.1807009826150831,0.4844517156877341,80.71273725,0.102249648,0.085336934,80.71273725,0.000360037,0.009091886,79.20540051303553,0.000629509,0.4761083377667819,80.71273725
40,,0.9402839917981544,0.3922305625477794,0.960331281,80.71273725,0.19889055,0.4843659748348149,80.71273725,0.1044939073615096,0.082312963,80.71273725,0.000271109,0.009152857,78.93604156695082,0.000197954,0.4796518829344278,80.71273725
50,,0.9412558884172362,0.4176967582772671,0.9693931041563284,80.71273725,0.000176665,0.002372792,80.71273725,0.1113311733919653,0.1354945904676239,80.71273725,0.00114726,0.009017409,79.70992522623116,0,0.00336931,80.71273725
65,,0.92905693,0.3761627171975809,0.9687079955444158,80.71273725,0,0.001562413,80.71273725,0.1220256329119601,0.1362792928670418,80.71273725,0.000321871,0.007415683,74.37043155707912,0,0.001874983,80.71273725
80,,0.8363021396592447,0.4158187727606857,0.977965367,80.71273725,0.000425879,0.008603321,80.71273725,0.1457082147251692,0.1561883150799899,80.71273725,0.000276873,0.010955733,79.03194169137204,0,0.012625891,80.71273725
100,,0.950411453,0.3604704976121287,0.9722043073564692,80.71273725,0,0.001809243,80.71273725,0.1202123135602634,0.1410385099367736,80.71273725,0.000230305,0.009009842,76.58441991530259,0,0.003273521,80.71273725
125,,0.9486675358550634,0.4156649202854063,0.9741796632936276,80.71273725,0,0.001924672,80.71273725,0.158020645,0.1415628683088191,80.71273725,9.266789834894552e-05,0.009681035,76.16640728221057,0,0.003417488,80.71273725
150,,0.9469799990934918,0.4668747022191732,0.9697109579698633,80.71273725,5.543483081289636e-06,0.00201635,80.71273725,0.11221724047599696,0.14268250289540077,80.71273725,1.9749887425641672e-05,0.005512177,79.04167841169118,0,0.002391688,80.71273725
